Frequency (Hz)	Level (dB)
3746.777344	-124.934525
3789.843750	-125.257088
3832.910156	-125.622086
3875.976562	-125.925201
3919.042969	-126.253593
3962.109375	-126.578735
4005.175781	-126.899811
4048.242188	-127.214973
4091.308594	-127.550148
4134.375000	-127.835846
4177.441406	-128.121979
4220.507812	-128.430054
4263.574219	-128.785751
4306.640625	-128.985947
4349.707031	-129.313187
4392.773438	-129.645966
4435.839844	-129.872955
4478.906250	-130.156570
4521.972656	-130.473373
4565.039062	-130.741440
4608.105469	-130.949493
4651.171875	-131.237091
4694.238281	-131.566406
4737.304688	-131.795609
4780.371094	-132.036728
4823.437500	-132.353058
4866.503906	-132.561966
4909.570312	-132.865204
4952.636719	-133.053452
4995.703125	-133.208466
5038.769531	-133.641296
5081.835938	-133.804459
5124.902344	-134.098236
5167.968750	-134.303604
5211.035156	-134.570847
5254.101562	-134.817886
5297.167969	-134.946533
5340.234375	-135.282364
5383.300781	-135.553375
5426.367188	-135.690628
5469.433594	-135.954010
5512.500000	-136.229767
5555.566406	-136.371735
5598.632812	-136.663864
5641.699219	-136.822464
5684.765625	-137.130981
5727.832031	-137.287781
5770.898438	-137.483307
5813.964844	-137.715225
5857.031250	-137.938354
5900.097656	-138.153412
5943.164062	-138.372726
5986.230469	-138.619568
6029.296875	-138.449188
6072.363281	-138.885956
6115.429688	-139.205078
6158.496094	-139.419022
6201.562500	-139.548538
6244.628906	-139.801331
6287.695312	-139.976273
6330.761719	-140.184021
6373.828125	-140.385696
6416.894531	-140.550156
6459.960938	-140.799118
6503.027344	-140.957993
6546.093750	-141.177521
6589.160156	-141.388885
6632.226562	-141.496094
6675.292969	-141.753113
6718.359375	-141.915924
6761.425781	-142.082794
6804.492188	-142.297577
6847.558594	-142.446320
6890.625000	-142.727966
6933.691406	-142.935699
6976.757812	-142.904282
7019.824219	-143.292389
7062.890625	-143.467941
7105.957031	-143.320602
7149.023438	-143.945221
7192.089844	-143.825607
7235.156250	-143.989792
7278.222656	-144.356384
7321.289062	-144.463211
7364.355469	-144.601059
7407.421875	-144.655991
7450.488281	-144.850571
7493.554688	-145.227951
7536.621094	-145.296112
7579.687500	-145.459808
7622.753906	-145.707809
7665.820312	-145.741577
7708.886719	-145.967850
7751.953125	-146.210739
7795.019531	-146.035065
7838.085938	-146.402542
7881.152344	-146.632477
7924.218750	-146.824539
7967.285156	-146.787659
8010.351562	-147.376907
8053.417969	-147.170685
8096.484375	-147.184814
8139.550781	-147.599472
8182.617188	-147.736588
8225.683594	-147.919601
8268.750000	-148.059616
8311.816406	-148.157166
8354.882812	-148.551926
8397.949219	-148.327240
8441.015625	-148.463867
8484.082031	-149.063278
8527.148438	-148.760406
8570.214844	-149.260330
8613.281250	-149.244553
8656.347656	-149.346817
8699.414062	-149.755280
8742.480469	-149.021820
8785.546875	-149.345413
8828.613281	-149.946823
8871.679688	-150.229980
8914.746094	-150.170273
8957.812500	-150.534241
9000.878906	-150.794159
9043.945312	-150.877029
9087.011719	-150.626480
9130.078125	-150.723251
9173.144531	-150.941132
9216.210938	-151.761414
9259.277344	-151.282974
9302.343750	-151.507217
9345.410156	-152.128418
9388.476562	-151.698730
9431.542969	-151.612350
9474.609375	-152.414719
9517.675781	-152.235703
9560.742188	-152.487930
9603.808594	-152.272736
9646.875000	-152.770248
9689.941406	-153.037048
9733.007812	-152.898422
9776.074219	-153.160675
9819.140625	-153.534409
9862.207031	-152.971817
9905.273438	-153.610641
9948.339844	-153.602966
9991.406250	-154.002502
10034.472656	-154.196320
10077.539062	-153.817307
10120.605469	-153.799088
10163.671875	-153.236145
10206.738281	-155.046356
10249.804688	-154.217728
10292.871094	-154.956528
10335.937500	-154.669678
10379.003906	-155.244186
10422.070312	-155.082535
10465.136719	-154.882172
10508.203125	-152.146301
10551.269531	-153.139404
10594.335938	-155.270599
10637.402344	-156.258179
10680.468750	-155.266327
10723.535156	-156.634415
10766.601562	-156.369888
10809.667969	-155.632507
10852.734375	-155.516434
10895.800781	-156.596313
10938.867188	-156.344650
10981.933594	-157.380844
11025.000000	-156.686798
11068.066406	-157.287460
11111.132812	-157.171097
11154.199219	-156.786377
11197.265625	-157.511063
11240.332031	-157.281723
11283.398438	-157.603851
11326.464844	-157.627609
11369.531250	-158.510788
11412.597656	-157.840424
11455.664062	-157.983582
11498.730469	-152.006165
